Partei,APPD,B,BIG,BüSo,CDU,DIE FREIHEIT,DIE LINKE,DKP,Deutsche Konservative,Die PARTEI,FAMILIE,FDP,GRÜNE,NPD,PIRATEN,PSG,SPD,Tierschutzpartei,UNABHÄNGIGE,ddp,pro Deutschland,ödp
APPD,38,32,25,16,11,11,30,29,14,30,20,12,32,16,26,28,20,23,26,20,16,25
B,32,38,26,17,12,9,32,30,12,26,19,12,33,12,27,31,20,23,27,20,14,26
BIG,25,26,38,20,17,14,27,26,17,22,19,14,26,15,23,25,24,22,26,25,18,25
BüSo,16,17,20,38,22,20,17,16,20,16,13,16,15,17,15,17,15,17,18,24,20,17
CDU,11,12,17,22,38,24,9,9,23,11,19,28,11,18,10,7,16,10,17,21,22,15
DIE FREIHEIT,11,9,14,20,24,38,13,13,28,15,19,24,10,24,8,11,14,16,14,23,22,11
DIE LINKE,30,32,27,17,9,13,38,32,14,27,19,10,31,14,27,31,23,24,25,20,13,21
DKP,29,30,26,16,9,13,32,38,14,25,21,10,32,14,24,31,22,28,25,20,11,27
Deutsche Konservative,14,12,17,20,23,28,14,14,38,15,20,20,11,30,10,13,13,17,12,30,28,16
Die PARTEI,30,26,22,16,11,15,27,25,15,38,18,13,28,16,24,26,17,18,25,20,15,21
FAMILIE,20,19,19,13,19,19,19,21,20,18,38,24,20,18,17,18,17,21,22,23,17,23
FDP,12,12,14,16,28,24,10,10,20,13,24,38,12,16,10,8,14,11,18,21,18,16
GRÜNE,32,33,26,15,11,10,31,32,11,28,20,12,38,11,25,29,22,24,29,17,11,27
NPD,16,12,15,17,18,24,14,14,30,16,18,16,11,38,10,12,11,16,12,24,29,14
PIRATEN,26,27,23,15,10,8,27,24,10,24,17,10,25,10,38,31,20,21,24,17,11,21
PSG,28,31,25,17,7,11,31,31,13,26,18,8,29,12,31,38,22,26,24,20,12,24
SPD,20,20,24,15,16,14,23,22,13,17,17,14,22,11,20,22,38,23,20,15,11,19
Tierschutzpartei,23,23,22,17,10,16,24,28,17,18,21,11,24,16,21,26,23,38,23,20,17,22
UNABHÄNGIGE,26,27,26,18,17,14,25,25,12,25,22,18,29,12,24,24,20,23,38,20,17,24
ddp,20,20,25,24,21,23,20,20,30,20,23,21,17,24,17,20,15,20,20,38,23,23
pro Deutschland,16,14,18,20,22,22,13,11,28,15,17,18,11,29,11,12,11,17,17,23,38,15
ödp,25,26,25,17,15,11,21,27,16,21,23,16,27,14,21,24,19,22,24,23,15,38
